"","LarvalID","OtoPart","Li","B","Na","Mg","Mg.1","Al","Si","K","Ca","Sc","Ti","V","Cr","Mn","Fe","Ni","Cu","Zn","Ga","Rb","Sr","Sr.1","Y","Ag","Sb","Ba","Ba.1","La","Ce","Nd","Er","Pb"
"288",288,"Core",0.397761034,1.33244101516667,3913.74067433333,42.9158472016667,41.3084084583333,0.983756382666667,1162.17673178333,632.4134504,406127.382833333,0.1232621845,0.0554866551666667,0.0785210386666667,0.578518777166667,0.267261481833333,87.6117546916667,0.432606440166667,0.125505038,0.0840766683333333,0.4685974465,0.1883376105,2106.41191066667,2150.08785716667,0.0059095995,0.00455568983333333,0,39.5920341116667,39.1155452266667,0.002552996,0.00116984333333333,0,0.00392228816666667,0.0140241888333333
"289",289,"Core",0.353694104230769,0.960083845692308,3843.458006,117.714577163077,111.62133508,1.62675491184615,2009.07675871538,505.277504615385,399853.902053846,0.0910445970769231,0.0652384266153846,0.0866289408461538,0.799819870692308,66.4039741685385,85.2328889023077,0.220627921153846,0.233071905307692,0.377312300538462,0.138920911,0.276055779076923,1356.17858946154,1327.08173030769,0.00169663407692308,0.0142130764615385,0.00530040569230769,12.1536386453077,11.2814208623077,0.00160638684615385,0.00197931353846154,0.00586159038461538,0.010894481,0.0124622000769231
"290",290,"Core",0.361708302357143,1.04169814947619,4176.05955980952,60.8105896004762,59.5116545057143,1.42105878540476,1817.6667381381,581.42824692381,404597.263302381,0.0727152708333333,0.141912140761905,0.0619796598333333,0.407293753428571,30.5139328193571,86.1094466983333,0.311999837142857,0.237003196595238,0.212489487071429,0.321434930761905,0.188095308142857,1866.58821709524,1937.55070604762,0.00167714788095238,0.0063996675952381,0.00774057164285714,27.0652626661905,26.2425114630952,0.00114530002380952,0.00260093242857143,0.0195145019047619,0.00389490354761905,0.00624371235714286
"291",291,"Core",0.323361258631579,0.815392860263158,4050.69381747368,66.0343167357895,63.0747950378947,1.48123370273684,1372.19168138105,496.4027403,402846.464284211,0.105394889736842,0.161678379684211,0.0453341710526316,0.556622615368421,39.8883856714737,92.3587373457895,0.258601805368421,0.192466894842105,0.28138612,0.454589763421053,0.181790777578947,1581.50029321053,1549.26811910526,0.00287525863157895,0.00627124736842105,0.00542259857894737,13.7440775467895,12.4619953025263,0.000745734894736842,0.00170519421052632,0.00207499242105263,0.00999564642105263,0.00630022921052632
"292",292,"Core",0.328342917621622,0.977241072621622,4176.85075572973,103.452494027027,101.727270994324,1.56624839794595,1603.0131369027,521.798626108108,404166.402375676,0.0536475038918919,0.167056783891892,0.0676351118108108,0.605021978675676,15.7150885415135,88.3551480372973,0.226842623216216,0.458884357243243,0.213440562027027,0.253394167405405,0.116715549837838,1770.5067432973,1725.64112543243,0.00197732786486486,0.0124563028648649,0.00298791467567568,22.4188080202703,21.3163883667568,0.00103020621621622,0.00233876297297297,0.0129217554864865,0.00360684648648649,0.00459146002702703
"293",293,"Core",0.338755215463415,0.856601912853658,4203.80016521951,30.0915070534146,29.2702979134146,1.27164715546341,1632.38683763415,668.154857509756,405624.500409756,0.12914704402439,0.16226988002439,0.0458076493170732,0.551834207658537,0.570937849146341,89.9980436478049,0.271482952292683,0.175513065439024,0.186001432780488,0.282750666195122,0.137046568878049,2367.43460253659,2449.57597621951,0.0047307496097561,0.00872922651219512,0,72.2940150802439,73.0809890536585,0.000879146341463415,0.00275481634146341,0.00822813051219512,0.00818259190243902,0.00734359712195122
"294",294,"Core",0.288809399428571,1.04859797297143,4136.51974728571,59.961347832,57.5130511294286,1.29506834857143,1670.16445093143,576.405903982857,407067.412754286,0.0689497774857143,0.155099941028571,0.0597072094571429,0.559490986685714,21.4684886682,91.1421274954286,0.175803933942857,0.214245433885714,0.301760563771429,0.378096762114286,0.188499503685714,1549.47276734286,1565.95070454286,0.00340213085714286,0.00357528417142857,0.0016566388,18.8191943008571,18.5338920797143,0.00194290885714286,0.00215753697142857,0.0132998118285714,0.00820145108571429,0.00969952617142857
"295",295,"Core",0.373240372594595,2.445023807,4860.91272210811,55.4198877545946,50.4626752989189,1.32402600605405,2017.8491291227,691.761292524324,405099.844686486,0.100897033513514,0.245334433864865,0.0565000279459459,0.974288132189189,28.7565205307027,94.1420839721622,0.255584828810811,0.261320046216216,0.314279361837838,0.416127792513514,0.169567627162162,1978.05278283784,1976.18655389189,0.00280933424324324,0.00436076854054054,0.000174032540540541,20.7246557497297,20.9368925410811,0.00237761575675676,0.00217084232432432,0.00899366010810811,0.00423623772972973,0.00702926964864865
"296",296,"Core",0.298917714617647,2.82768865661765,4653.01553747059,81.8946768061765,82.0191863747059,0.746819999764706,1956.86618201176,525.363413638235,396140.525897059,0.0871583645588235,0.173735579,0.0374748195294118,0.533158638882353,23.8772930872353,88.1201107423529,0.235185032470588,0.226979741235294,0.337524388529412,0.290540614558824,0.156319717088235,1705.42209141176,1684.49200723529,0.00438612105882353,0.0101744492941176,0.0009668085,21.7233589294118,20.9538769697059,0.00102437432352941,0.00254861258823529,0.00421570441176471,0.00583350329411765,0.0104157784705882
"297",297,"Core",0.264741168375,3.605202265125,4923.06971934375,137.01526861375,134.703261510625,1.21579601040625,2043.91206521437,571.469682896875,409222.557359375,0.0713182470625,0.19026968234375,0.05837930784375,0.65008931890625,8.11835864396875,93.0477777809375,0.21248698396875,0.28599350746875,0.336278157125,0.5290308735625,0.2261019274375,2178.938522125,2177.831474375,0.00430297325,0.01168501878125,0.00184160171875,32.7497804121875,32.6254518934375,0.00345228875,0.00110918996875,0.0051177315625,0.00708487871875,0.00377613728125
"298",298,"Core",0.296987636805556,1.49211385858333,4621.69277063889,83.7366509808333,83.4155384619445,0.829418697111111,1005.37049217778,627.090730091667,415141.342252778,0.0663846628888889,0.0993894186666667,0.0464228495,0.268915896888889,47.6126847913611,78.0005644702778,0.197497389583333,0.197540514111111,0.305193798277778,0.0960798238333333,0.270003142111111,1676.39537663889,1701.42230255556,0.00441837147222222,0.0150855669444444,0.0255090963888889,14.4805782830556,13.9389050569722,0.000991753305555556,0.00472142491666667,0.0108091,0.00746020002777778,0.00580943311111111
