SiteName,threeGroups,twoGroups
Tharwa Sandwash,Upper,Top
Lanyon,Upper,Top
Murramore,Middle,Top
Kambah Pool,Middle,Bottom
Bullen Range,Lower,Bottom
Nerreman,Lower,Bottom
