"ID","Set Date","Net","Set Time","Set Flow Rotor Count","Set 30 Seconds Count","Set Rotor Delta","Water Temperature on Set","Water Temperature on Pull","Pull Time","Pull Flow Rotor Count","Pull 30 sec Rotor Count","Pull Rotor Delta","Comments","Examined","Larvae Found","Cod Confirmed","Larvae Comments","Weather","cSettime","cPulltime","Soak Time","Pull Date","Source","Depth (m)","Total Rotor Delta","Delta per Hour","Average set and pull 30 sec delta","Av rotor if over whole soak time","Maccullochella larvae","Perca larvae","Cyprinus larvae","Other species","Location","SoakHours","OrigTotalRotor","YearOnly","Day of Year","CreatedDate","SiteName"
81,27/9/2011 0:00:00,"Drift net 2",30/12/1899 16:00:00,250237,,,,,30/12/1899 8:00:00,,348026,,"97789",0,0,0,,,27/9/2011 16:00:00,28/9/2011 8:00:00,30/12/1899 16:00:00,28/9/2011 0:00:00,"Appendix 3",,97789.00,6111.81,,,0,,,,6,16.00,97789,2011,270,,"Nerreman"
82,28/9/2011 0:00:00,"Eel net",30/12/1899 16:00:00,,,,,,30/12/1899 8:00:00,,,,,0,0,0,,,28/9/2011 16:00:00,29/9/2011 8:00:00,30/12/1899 16:00:00,29/9/2011 0:00:00,"Appendix 3",,,,,,0,,,,1,16.00,,2011,271,,"Tharwa Sandwash"
83,28/9/2011 0:00:00,"Drift net 1",30/12/1899 16:30:00,400395,,,,,30/12/1899 8:00:00,,400400,,,0,0,0,,,28/9/2011 16:30:00,29/9/2011 8:00:00,30/12/1899 15:30:00,29/9/2011 0:00:00,"Appendix 3",,5.00,0.33,,,0,,,,1,15.50,5,2011,271,,"Tharwa Sandwash"
84,28/9/2011 0:00:00,"Drift net 2",30/12/1899 16:30:00,348122,,,,,30/12/1899 8:00:00,,349833,,"1711",0,0,0,,,28/9/2011 16:30:00,29/9/2011 8:00:00,30/12/1899 15:30:00,29/9/2011 0:00:00,,,1711.00,114.06,,,0,,,,1,15.50,1711,2011,271,,"Tharwa Sandwash"
85,29/9/2011 0:00:00,"Eel net",30/12/1899 16:00:00,,,,,,30/12/1899 9:30:00,,,,,0,0,0,,,29/9/2011 16:00:00,30/9/2011 9:30:00,30/12/1899 17:30:00,30/9/2011 0:00:00,,,,,,,0,,,,2,17.50,,2011,272,,"Lanyon"
86,29/9/2011 0:00:00,"Drift net 1",30/12/1899 16:30:00,0,,,,,30/12/1899 9:00:00,,9854,,"9854",0,0,0,,,29/9/2011 16:30:00,30/9/2011 9:00:00,30/12/1899 16:30:00,30/9/2011 0:00:00,,,9854.00,615.87,,,0,,,,2,16.50,9854,2011,272,,"Lanyon"
87,29/9/2011 0:00:00,"Drift net 2",30/12/1899 16:30:00,0,,,,,30/12/1899 9:00:00,,157032,,"157032",0,0,0,,,29/9/2011 16:30:00,30/9/2011 9:00:00,30/12/1899 16:30:00,30/9/2011 0:00:00,,,157032.00,9814.50,,,0,,,,2,16.50,157032,2011,272,,"Lanyon"
88,4/10/2011 0:00:00,"Eel net",30/12/1899 17:30:00,,,,,,30/12/1899 8:30:00,,,,,0,0,0,,,4/10/2011 17:30:00,5/10/2011 8:30:00,30/12/1899 15:00:00,5/10/2011 0:00:00,,,,,,,0,,,,3,15.00,,2011,277,,"Murramore"
89,4/10/2011 0:00:00,"Drift net 1",30/12/1899 18:00:00,9957,,,,,30/12/1899 8:00:00,,192221,,"182264",0,0,0,,,4/10/2011 18:00:00,5/10/2011 8:00:00,30/12/1899 14:00:00,5/10/2011 0:00:00,,,182264.00,13018.85,,,0,,,,3,14.00,182264,2011,277,,"Murramore"
90,4/10/2011 0:00:00,"Drift net 2",30/12/1899 18:00:00,157125,,,,,30/12/1899 8:00:00,,185375,,"28250",0,0,0,,,4/10/2011 18:00:00,5/10/2011 8:00:00,30/12/1899 14:00:00,5/10/2011 0:00:00,,,28250.00,2017.85,,,0,,,,3,14.00,28250,2011,277,,"Murramore"
91,5/10/2011 0:00:00,"Eel net",30/12/1899 17:00:00,,,,,,30/12/1899 8:30:00,,,,,0,0,0,,,5/10/2011 17:00:00,6/10/2011 8:30:00,30/12/1899 15:30:00,6/10/2011 0:00:00,,,,,,,0,,,,4,15.49,,2011,278,,"Kambah Pool"
92,5/10/2011 0:00:00,"Drift net 1",30/12/1899 17:00:00,192332,,,,,30/12/1899 8:30:00,,266145,,"73813",0,0,0,,,5/10/2011 17:00:00,6/10/2011 8:30:00,30/12/1899 15:30:00,6/10/2011 0:00:00,,,73813.00,4920.86,,,0,,,,4,15.49,73813,2011,278,,"Kambah Pool"
