"","colMeans(sibsHatchDiff, na.rm = TRUE)"
"K20131113-233","6.000000"
"K20131113-239","6.000000"
"K20131113-240","8.000000"
"K20131113-245","8.000000"
"K20131119-271","1.000000"
"K20131119-274","1.666667"
"K20131120-278","1.500000"
"K20131120-279","1.500000"
"K2013117-185","1.000000"
"K2013118-200","1.000000"
"K2013118-201","1.000000"
"K2013118-205","1.000000"
"N20131111-210","5.000000"
"N20131111-212","7.000000"
"N20131111-213","3.000000"
"N20131111-217","5.000000"
"N20131111-224","3.000000"
"N20131118-266","7.000000"
