*,185_744505,185_745093,186_744506,186_745101,187-coll832-trial1_767271,187-coll832-trial1_769250,187_744507,187_745109,188-coll832-trial1_767272,188-coll832-trial1_769251,188_744508,188_745117,189-coll853-trial1_767273,189-coll853-trial1_769252,189_744509,190-coll853-trial1_767274,190-coll853-trial1_769253,190_744510,191_744511,192_744512,193_744513,194_744514,195_744515,196_744516,197_744528,198_744527,199_744526,200_744525,201_744524,202_744523,203_744522,204_744521,205_744520,205_745118,206_744519,206_745110,207_744518,207_745102,208_744517,208_745094,209_744529,209_745095,210_744530,210_745103,211_744531,211_745111,212_744532,212_745119,213_744533,214_744534,215_744535,216_744536,217_744537,218_744538,219_744539,220_744540,221-coll801-trial1_767270,222-coll801-trial1_767269,222-coll801-trial1_769248,223_744550,224_744549,225_744548,226_744547,227_744546,228_744545,229_744544,229_745120,230_744543,230_745112,231_744542,231_745104,232_744541,232_745096,233_744553,233_745097,234_744554,234_745105,235_744555,235_745113,236_744556,236_745121,237_744557,238_744558,239_744559,240_744560,241_744561,242_744562,243_744563,244_744564,245_744576,246_744575,247_744574,248_744573,249_744572,250_744571,251_744570,252_744569,253_744568,253_745122,254_744567,254_745114,255_744566,255_745106,256_744565,256_745098,257_744577,257_745099,258_744578,258_745107,259_744579,259_745115,260_744580,260_745123,261_744581,262_744582,263_744583,264_744584,265_744585,266_744586,267_744587,268_744551,269_744552,270_744598,271_744597,272_744596,273_744595,274_744594,275_744593,276_744592,277_744591,277_745124,278_744590,278_745116,279_744589,279_745108,280_744588,280_745100,864_767280,864_769259,869_767286,869_769265,corin-trial1_769254,narranderah-trial1_767276,narranderah-trial1_769255
206_745110,0.035298,0.035264,0.035649,0.035032,0.036641,0.037275,0.035705,0.034746,0.035228,0.035386,0.03448,0.035577,0.040475,0.039747,0.034766,0.037617,0.038318,0.035849,0.036093,0.037769,0.03481,0.036519,0.035746,0.034551,0.035129,0.034691,0.037206,0.035346,0.035219,0.040299,0.037442,0.035093,0.034377,0.03371,0.008183,0,0.034238,0.034361,0.036389,0.037111,0.035213,0.034604,0.034079,0.033928,0.034573,0.035186,0.035952,0.033598,0.036374,0.031442,0.032423,0.03641,0.033099,0.035043,0.035059,0.022295,0.032371,0.03584,0.036458,0.036712,0.033329,0.036269,0.036418,0.036366,0.035808,0.03721,0.036278,0.037725,0.038311,0.037889,0.036941,0.036805,0.037558,0.036888,0.036092,0.036286,0.036649,0.038106,0.036358,0.03745,0.036549,0.034395,0.036711,0.037924,0.038681,0.037301,0.037078,0.050388,0.034485,0.038009,0.035034,0.036519,0.034483,0.067669,0.034292,0.090909,0.03125,0,0.047619,0.038997,0.039739,0.037261,0.037047,0.037047,0.036539,0.036958,0.037202,0.038395,0.036254,0.037362,0.036385,0.034726,0.035494,0.034861,0.165396,0.034915,0.037988,0.037152,0.035038,0.03733,0.037289,0.436382,0.037372,0.038113,0.03869,0.035521,0.038511,0.036347,0.035558,0.037455,0.03791,0.036142,0.037896,0.0371,0.037312,0.037994,0.037373,0.035668,0.036589,0.037959,0.037625,0.870798,0.872569,0.872475
207_744518,0.03317,0.033116,0.032776,0.033928,0.031886,0.031438,0.035194,0.034957,0.033757,0.033445,0.032632,0.0327,0.037313,0.036147,0.034076,0.032527,0.032596,0.034835,0.033241,0.0335,0.03249,0.034413,0.03487,0.032185,0.032168,0.031911,0.036041,0.034474,0.034029,0.033395,0.033114,0.033846,0.036113,0.035852,0.035442,0.034238,0,0.007333,0.033714,0.034375,0.028316,0.02908,0.034764,0.034372,0.032315,0.03336,0.030434,0.030334,0.034392,0.029291,0.031423,0.034298,0.032839,0.031403,0.022632,0.032478,0.034014,0.033183,0.032872,0.032831,0.031801,0.035177,0.03554,0.031005,0.035415,0.032736,0.033257,0.036976,0.03708,0.03679,0.036438,0.033452,0.033978,0.033092,0.034532,0.03258,0.033935,0.034169,0.033561,0.033591,0.033415,0.036587,0.033026,0.031796,0.035817,0.037273,0.03698,0.04557,0.033074,0.036017,0.033385,0.031356,0.065217,0.054745,0.030768,0.125,0.091837,0.2,0.071429,0.033763,0.03419,0.033276,0.033429,0.034146,0.032583,0.033028,0.036733,0.033175,0.031884,0.031144,0.031481,0.032905,0.033693,0.031261,0.155006,0.031318,0.032107,0.034818,0.034077,0.035097,0.032816,0.436034,0.033886,0.033997,0.032954,0.033798,0.035367,0.032014,0.03333,0.035597,0.035042,0.035337,0.035387,0.033314,0.033739,0.033839,0.034531,0.032856,0.0335,0.033818,0.033121,0.87227,0.875328,0.874711
207_745102,0.033858,0.034064,0.032461,0.033593,0.031462,0.032063,0.035325,0.035035,0.034971,0.034747,0.032669,0.032401,0.038382,0.037533,0.034202,0.031634,0.032677,0.034988,0.032755,0.033515,0.031135,0.036495,0.034726,0.032306,0.032474,0.031424,0.035587,0.033712,0.034595,0.033349,0.031752,0.033942,0.035477,0.034535,0.034979,0.034361,0.007333,0,0.034159,0.034561,0.028037,0.028602,0.034729,0.033736,0.031412,0.032538,0.030095,0.029637,0.032966,0.029474,0.031685,0.034822,0.031691,0.031163,0.022767,0.033123,0.034392,0.03349,0.034009,0.032989,0.030263,0.034474,0.035852,0.031826,0.0338,0.033803,0.033106,0.03578,0.035996,0.037556,0.036593,0.032543,0.033321,0.033329,0.033437,0.032943,0.033482,0.035256,0.034905,0.032292,0.032115,0.035119,0.032113,0.032054,0.036181,0.03763,0.035655,0.042308,0.032596,0.034494,0.033542,0.031551,0.056522,0.051095,0.029639,0.080645,0.06383,0.25,0.047619,0.032842,0.03359,0.032481,0.032754,0.033598,0.032062,0.032296,0.035649,0.033719,0.031396,0.031376,0.031142,0.032224,0.032695,0.030927,0.157962,0.031965,0.032989,0.034136,0.032276,0.033878,0.033649,0.433628,0.034088,0.034808,0.033628,0.033258,0.034895,0.032632,0.033917,0.034589,0.034563,0.034596,0.03492,0.033204,0.034325,0.03301,0.033968,0.031854,0.032786,0.033513,0.033838,0.870445,0.872602,0.872212
208_744517,0.032101,0.032335,0.03372,0.034678,0.032511,0.031849,0.033586,0.032745,0.033509,0.033634,0.032575,0.035112,0.03664,0.03664,0.034603,0.035286,0.034511,0.033767,0.035755,0.032063,0.035313,0.032722,0.034626,0.034807,0.031474,0.03387,0.03595,0.033126,0.032983,0.035546,0.034459,0.032295,0.035663,0.036598,0.035817,0.036389,0.033714,0.034159,0,0.008147,0.032139,0.033835,0.035992,0.035687,0.03416,0.034944,0.031608,0.03036,0.035051,0.034877,0.03512,0.035393,0.034363,0.034745,0.033847,0.034522,0.035503,0.034547,0.034275,0.033852,0.036511,0.035667,0.036146,0.032351,0.037216,0.035244,0.034772,0.034961,0.035296,0.033994,0.033743,0.034825,0.035424,0.033835,0.03398,0.032891,0.03394,0.032618,0.032231,0.034574,0.034564,0.036799,0.033,0.032339,0.036595,0.035698,0.039204,0.029777,0.035514,0.03924,0.033016,0.035309,0.067797,0.057971,0.033758,0.102941,0.05102,0,0.034091,0.034266,0.034553,0.032508,0.03312,0.034773,0.034254,0.036716,0.038241,0.034555,0.033499,0.032512,0.032964,0.035228,0.03492,0.032835,0.150828,0.033276,0.034838,0.033156,0.03437,0.034245,0.034521,0.433964,0.033798,0.03449,0.03364,0.03494,0.034336,0.031172,0.031564,0.035556,0.036208,0.035912,0.036898,0.033252,0.034339,0.031991,0.031975,0.034477,0.035411,0.032919,0.03251,0.873905,0.877617,0.876929
208_745094,0.03086,0.032461,0.033134,0.034423,0.033193,0.031884,0.033155,0.032837,0.033748,0.033366,0.032827,0.033992,0.036092,0.035996,0.033721,0.034085,0.034154,0.033623,0.035756,0.031596,0.035497,0.032271,0.034663,0.035014,0.032312,0.034862,0.035939,0.032173,0.032489,0.035762,0.033924,0.032308,0.034212,0.035278,0.035908,0.037111,0.034375,0.034561,0.008147,0,0.032408,0.034465,0.036203,0.035531,0.033532,0.034917,0.031391,0.031076,0.035051,0.034771,0.034947,0.034547,0.035531,0.035446,0.034047,0.03476,0.03465,0.033374,0.034742,0.03419,0.036992,0.03569,0.036746,0.032596,0.03709,0.035811,0.035984,0.03476,0.035652,0.033675,0.033167,0.035044,0.035702,0.032991,0.034784,0.033859,0.034745,0.033127,0.032313,0.034945,0.03406,0.035345,0.033264,0.032554,0.03545,0.03491,0.038402,0.031328,0.035407,0.039009,0.034033,0.034329,0.06087,0.050725,0.034701,0.106061,0.030612,0.2,0.034884,0.034622,0.034775,0.031964,0.032856,0.034915,0.034973,0.036339,0.037743,0.03527,0.034645,0.03253,0.032788,0.034322,0.034907,0.032101,0.152404,0.033246,0.034488,0.033131,0.034807,0.033664,0.035352,0.43453,0.034085,0.034356,0.033769,0.036277,0.034036,0.031092,0.032491,0.034949,0.03581,0.035419,0.036635,0.033236,0.033614,0.032286,0.031662,0.034466,0.035188,0.03266,0.032686,0.873096,0.8771,0.87655
209_744529,0.030576,0.031223,0.031744,0.033231,0.031558,0.030761,0.032624,0.031776,0.033663,0.032536,0.030815,0.034136,0.035788,0.034889,0.031567,0.033965,0.034297,0.033618,0.035031,0.030503,0.033751,0.03397,0.033014,0.031907,0.030769,0.032024,0.036569,0.033455,0.032764,0.033993,0.032587,0.029508,0.033777,0.034864,0.035296,0.035213,0.028316,0.028037,0.032139,0.032408,0,0.007749,0.033626,0.033017,0.034392,0.034226,0.029762,0.029111,0.034096,0.033925,0.031128,0.033311,0.032815,0.032767,0.029301,0.033045,0.036819,0.033387,0.032467,0.031808,0.032856,0.033677,0.034121,0.030288,0.03432,0.03185,0.032487,0.034399,0.033999,0.032883,0.031969,0.030875,0.031636,0.031425,0.032314,0.028692,0.030467,0.031353,0.030902,0.030924,0.03017,0.035549,0.030607,0.030456,0.033729,0.033965,0.035855,0.036432,0.03207,0.036289,0.032576,0.030857,0.061404,0.05597,0.032609,0.083333,0.043478,0,0.039474,0.032643,0.034572,0.030964,0.031113,0.032121,0.032242,0.034916,0.036914,0.030375,0.029236,0.031633,0.032808,0.034868,0.035513,0.031657,0.149326,0.033093,0.033183,0.031099,0.033863,0.027696,0.033973,0.435549,0.032385,0.031782,0.033001,0.033862,0.031503,0.029014,0.029903,0.032883,0.032845,0.033744,0.034836,0.032689,0.033671,0.027876,0.02791,0.031517,0.032081,0.032176,0.031217,0.874868,0.879248,0.878853
209_745095,0.032025,0.032085,0.032821,0.034203,0.031801,0.031716,0.033049,0.031881,0.033162,0.033004,0.032096,0.033944,0.036382,0.035598,0.032059,0.034873,0.034719,0.033762,0.03438,0.032062,0.03369,0.034872,0.033738,0.033297,0.032175,0.03192,0.037077,0.033158,0.033691,0.034721,0.034193,0.030094,0.034372,0.034804,0.03591,0.034604,0.02908,0.028602,0.033835,0.034465,0.007749,0,0.033738,0.03327,0.03505,0.034156,0.030181,0.029233,0.033289,0.033404,0.031393,0.032918,0.032225,0.032511,0.029326,0.033968,0.035688,0.032652,0.032867,0.032083,0.033094,0.035258,0.034066,0.031414,0.035399,0.033838,0.0331,0.034028,0.033175,0.033168,0.032388,0.031323,0.032269,0.031626,0.032175,0.029096,0.030628,0.032421,0.031376,0.031198,0.031513,0.035833,0.031066,0.030696,0.034398,0.035718,0.03639,0.034826,0.033019,0.036735,0.033973,0.030781,0.065789,0.05597,0.032497,0.080645,0.043478,0,0.025641,0.034123,0.034847,0.032159,0.032505,0.033438,0.032898,0.034673,0.036928,0.030358,0.029026,0.032726,0.032104,0.033884,0.034971,0.032231,0.152009,0.033692,0.033419,0.031955,0.03499,0.028297,0.03492,0.436088,0.032438,0.032235,0.034622,0.034931,0.03247,0.030737,0.03078,0.032462,0.031995,0.033631,0.035107,0.033296,0.033073,0.028649,0.028213,0.032793,0.031942,0.032471,0.032458,0.873274,0.877348,0.877344
210_744530,0.032368,0.033337,0.033578,0.034929,0.036007,0.035566,0.033951,0.03407,0.037193,0.036321,0.033213,0.034867,0.038457,0.037706,0.035403,0.036009,0.036727,0.034889,0.034546,0.034752,0.033322,0.035013,0.032722,0.033301,0.032122,0.032809,0.036066,0.032636,0.034275,0.034373,0.036001,0.032189,0.035565,0.036053,0.033635,0.034079,0.034764,0.034729,0.035992,0.036203,0.033626,0.033738,0,0.007528,0.033559,0.033295,0.03436,0.032604,0.027742,0.033237,0.022199,0.03505,0.023106,0.033764,0.033544,0.03302,0.036531,0.033391,0.031809,0.035374,0.030483,0.034029,0.035727,0.035062,0.037305,0.034688,0.035177,0.035802,0.035688,0.036325,0.035898,0.035332,0.036109,0.035334,0.035633,0.032809,0.034808,0.032902,0.033505,0.034755,0.034705,0.036587,0.033651,0.033645,0.036734,0.036099,0.037035,0.03625,0.035039,0.03838,0.03412,0.035265,0.048673,0.054745,0.034696,0.129032,0.020833,0.333333,0.04878,0.0354,0.036141,0.033574,0.033774,0.037216,0.037734,0.038593,0.04014,0.033716,0.034209,0.034296,0.035382,0.034314,0.03422,0.032191,0.150602,0.033737,0.034095,0.034943,0.034686,0.032574,0.036776,0.436608,0.035598,0.034829,0.035591,0.036049,0.035061,0.033589,0.033843,0.035294,0.034363,0.033656,0.035108,0.034184,0.035289,0.03303,0.033622,0.033409,0.034331,0.034985,0.034343,0.876889,0.880719,0.880023
210_745103,0.032316,0.032914,0.03261,0.035014,0.035443,0.03496,0.033613,0.032877,0.036409,0.035861,0.033513,0.035978,0.038466,0.037476,0.034732,0.035437,0.036056,0.035056,0.034038,0.034238,0.033565,0.034801,0.033549,0.034118,0.0329,0.032891,0.036419,0.03296,0.034472,0.035062,0.03508,0.032162,0.035188,0.036767,0.033647,0.033928,0.034372,0.033736,0.035687,0.035531,0.033017,0.03327,0.007528,0,0.033043,0.032719,0.033552,0.032837,0.027959,0.033098,0.021565,0.036361,0.022493,0.033381,0.033364,0.032782,0.038519,0.032611,0.032153,0.034932,0.030564,0.034065,0.035745,0.035156,0.037204,0.035605,0.036797,0.035692,0.035102,0.035946,0.03595,0.034532,0.034885,0.034246,0.034734,0.033476,0.033977,0.033337,0.033941,0.034942,0.034148,0.036139,0.034112,0.033341,0.037045,0.035032,0.03659,0.034177,0.035804,0.037955,0.033581,0.035909,0.044248,0.055147,0.034316,0.129032,0.021277,0,0.0375,0.035769,0.035311,0.033476,0.033145,0.036394,0.037197,0.037605,0.039526,0.034303,0.034145,0.034684,0.035322,0.033122,0.033598,0.033812,0.153515,0.034769,0.034241,0.034996,0.033074,0.032449,0.036991,0.437445,0.034824,0.034595,0.035295,0.036579,0.03573,0.03323,0.034324,0.035021,0.034239,0.033603,0.035635,0.033398,0.034878,0.033341,0.033854,0.034004,0.034884,0.033899,0.033679,0.875784,0.880873,0.880505
211_744531,0.032414,0.032606,0.034534,0.034752,0.033072,0.033036,0.034331,0.035381,0.033983,0.033663,0.031642,0.032159,0.038988,0.038514,0.03356,0.038156,0.038938,0.035394,0.033442,0.032753,0.032312,0.034014,0.032174,0.032782,0.033044,0.030439,0.03474,0.033469,0.032866,0.033783,0.032858,0.032465,0.035414,0.034138,0.034288,0.034573,0.032315,0.031412,0.03416,0.033532,0.034392,0.03505,0.033559,0.033043,0,0.01039,0.0319,0.030719,0.032838,0.031833,0.033772,0.034697,0.035373,0.034159,0.031706,0.032449,0.030628,0.035649,0.035383,0.03521,0.035052,0.035736,0.035696,0.03548,0.03389,0.034583,0.03511,0.032551,0.033957,0.035347,0.034956,0.03548,0.03703,0.034099,0.035296,0.032153,0.033247,0.034566,0.033154,0.034812,0.035329,0.038212,0.035566,0.031543,0.036517,0.035868,0.03666,0.034264,0.033919,0.037575,0.032091,0.036849,0.051724,0.063433,0.036173,0.088235,0.030612,0.083333,0.046512,0.03688,0.036292,0.036705,0.036319,0.036976,0.03668,0.034183,0.036226,0.034468,0.03294,0.03177,0.033347,0.029599,0.030004,0.032398,0.156814,0.034239,0.031376,0.033228,0.031462,0.033769,0.038332,0.434706,0.033268,0.034027,0.036781,0.03668,0.035022,0.031649,0.032899,0.03307,0.034027,0.034533,0.034801,0.031512,0.03262,0.033897,0.032693,0.036017,0.037127,0.03561,0.035288,0.871048,0.873844,0.873711
211_745111,0.032262,0.032881,0.035316,0.036412,0.032738,0.031934,0.034577,0.033954,0.035096,0.035403,0.031641,0.032145,0.040257,0.039864,0.035487,0.038406,0.037641,0.034774,0.033839,0.032864,0.032967,0.034212,0.032227,0.03353,0.034006,0.030338,0.034067,0.032606,0.032565,0.033894,0.033099,0.031889,0.035918,0.03589,0.036471,0.035186,0.03336,0.032538,0.034944,0.034917,0.034226,0.034156,0.033295,0.032719,0.01039,0,0.031515,0.030733,0.034092,0.0334,0.032922,0.036494,0.035031,0.033952,0.032774,0.032753,0.032812,0.035943,0.036603,0.034687,0.035308,0.036485,0.035499,0.03607,0.033934,0.034751,0.034944,0.033171,0.032434,0.034438,0.034175,0.035858,0.036776,0.034779,0.035622,0.03314,0.033482,0.035323,0.033764,0.035117,0.035811,0.038219,0.035205,0.032768,0.0366,0.035152,0.036623,0.033505,0.035247,0.036537,0.033739,0.037362,0.058036,0.05597,0.035877,0.083333,0.021739,0.2,0.04878,0.037518,0.037064,0.037118,0.036058,0.03791,0.037277,0.034352,0.036319,0.035511,0.03298,0.031116,0.032694,0.030108,0.032203,0.033173,0.160255,0.034534,0.031311,0.033948,0.031942,0.03492,0.039075,0.43454,0.034581,0.034503,0.038073,0.037847,0.033906,0.031563,0.032482,0.033539,0.034677,0.03376,0.035542,0.032915,0.033926,0.034579,0.033138,0.036908,0.038377,0.035153,0.034405,0.87035,0.871882,0.871574
212_744532,0.031205,0.032672,0.030828,0.032649,0.03197,0.031267,0.033198,0.033291,0.032265,0.031824,0.030103,0.031744,0.037725,0.03653,0.032419,0.034719,0.035218,0.031423,0.033545,0.030759,0.031885,0.031476,0.031964,0.03272,0.031605,0.032432,0.0315,0.029969,0.031517,0.033431,0.030255,0.030354,0.033333,0.032906,0.036888,0.035952,0.030434,0.030095,0.031608,0.031391,0.029762,0.030181,0.03436,0.033552,0.0319,0.031515,0,0.008205,0.034359,0.028128,0.032251,0.033956,0.033484,0.031465,0.030178,0.035189,0.035369,0.032659,0.033341,0.03076,0.033278,0.035312,0.035776,0.034328,0.03276,0.033226,0.032726,0.034045,0.033686,0.031934,0.031744,0.035176,0.034687,0.032441,0.03172,0.033094,0.033231,0.03198,0.030337,0.031464,0.031739,0.036764,0.031846,0.029821,0.033554,0.034556,0.038315,0.026316,0.033449,0.03668,0.033042,0.031888,0.043103,0.040441,0.033066,0.106061,0.030612,0.2,0.059524,0.034527,0.034526,0.032781,0.03231,0.035047,0.033467,0.031651,0.034616,0.030594,0.029564,0.028943,0.029871,0.03265,0.031098,0.031496,0.152033,0.030829,0.029399,0.031547,0.023099,0.030313,0.035538,0.435462,0.032627,0.032878,0.033683,0.035424,0.034489,0.029293,0.03173,0.032767,0.033023,0.033758,0.035251,0.033265,0.03328,0.031288,0.031303,0.033964,0.035024,0.031443,0.030846,0.871923,0.876028,0.875635
212_745119,0.031086,0.031533,0.030433,0.031506,0.030767,0.031182,0.031544,0.030975,0.030843,0.031401,0.029349,0.030068,0.036317,0.035885,0.0313,0.034078,0.035595,0.029887,0.032115,0.030507,0.030698,0.030417,0.031057,0.032269,0.029221,0.030474,0.03035,0.028523,0.029907,0.033131,0.030413,0.029443,0.031203,0.031004,0.034523,0.033598,0.030334,0.029637,0.03036,0.031076,0.029111,0.029233,0.032604,0.032837,0.030719,0.030733,0.008205,0,0.032684,0.02892,0.031058,0.031729,0.031812,0.031127,0.030063,0.033735,0.033157,0.031763,0.032392,0.03029,0.032229,0.035114,0.03544,0.033642,0.031474,0.032656,0.031847,0.031481,0.03155,0.031543,0.030263,0.034003,0.034313,0.031701,0.031401,0.03114,0.031588,0.030921,0.030542,0.030433,0.030212,0.035227,0.03085,0.030057,0.034088,0.033306,0.03684,0.02399,0.031644,0.036643,0.031965,0.029961,0.043478,0.037313,0.031145,0.078125,0.031915,0,0.035714,0.033211,0.032943,0.031583,0.031171,0.033644,0.033056,0.030597,0.033551,0.030813,0.029249,0.028695,0.028238,0.030651,0.030871,0.029783,0.152949,0.030689,0.028529,0.031005,0.022419,0.029851,0.035264,0.434965,0.031921,0.032311,0.033498,0.034143,0.032886,0.0278,0.031275,0.030885,0.030608,0.032911,0.034065,0.030811,0.031771,0.029845,0.029777,0.032334,0.032997,0.030258,0.029754,0.871178,0.87497,0.874802
213_744533,0.034288,0.03511,0.03361,0.034616,0.033326,0.033462,0.034836,0.034208,0.03681,0.03647,0.03295,0.034292,0.037707,0.036775,0.034456,0.03591,0.036473,0.034184,0.034873,0.036659,0.034133,0.035041,0.033928,0.035414,0.033133,0.033349,0.037574,0.033992,0.034711,0.035043,0.033668,0.032977,0.036587,0.037429,0.035332,0.036374,0.034392,0.032966,0.035051,0.035051,0.034096,0.033289,0.027742,0.027959,0.032838,0.034092,0.034359,0.032684,0,0.031729,0.030109,0.035296,0.02816,0.036152,0.033971,0.03359,0.033061,0.033352,0.033034,0.036134,0.024594,0.035384,0.037579,0.035234,0.034133,0.034674,0.034234,0.036628,0.036846,0.036344,0.036522,0.035916,0.036536,0.035335,0.035839,0.033882,0.033673,0.033197,0.033857,0.035051,0.034791,0.037454,0.034158,0.034285,0.038314,0.036169,0.035407,0.031407,0.034659,0.037574,0.031511,0.037699,0.053571,0.055147,0.034993,0.129032,0.01087,0,0.038462,0.037049,0.037636,0.035405,0.034498,0.035403,0.035158,0.035092,0.03712,0.034004,0.033575,0.032937,0.034332,0.031822,0.032913,0.032867,0.153159,0.035834,0.03283,0.034931,0.03344,0.033828,0.037191,0.435998,0.034218,0.034966,0.037422,0.036761,0.033954,0.033482,0.032924,0.035706,0.036094,0.033442,0.035601,0.034142,0.035129,0.034715,0.035204,0.035343,0.036585,0.034917,0.033785,0.875178,0.879047,0.878471
214_744534,0.032566,0.033511,0.03221,0.033506,0.032639,0.031401,0.034018,0.032206,0.034276,0.033577,0.032273,0.033013,0.037094,0.036058,0.032374,0.033548,0.034888,0.032938,0.031711,0.032735,0.03099,0.031659,0.033782,0.032067,0.029166,0.031574,0.032867,0.031691,0.03282,0.033002,0.029699,0.032975,0.034548,0.034279,0.033738,0.031442,0.029291,0.029474,0.034877,0.034771,0.033925,0.033404,0.033237,0.033098,0.031833,0.0334,0.028128,0.02892,0.031729,0,0.03216,0.032925,0.033684,0.033329,0.03184,0.032038,0.033636,0.032094,0.032099,0.034039,0.031991,0.034814,0.033274,0.033411,0.032777,0.03231,0.031155,0.033833,0.034389,0.035484,0.034132,0.034012,0.034832,0.032822,0.032845,0.032726,0.033443,0.032041,0.03206,0.032017,0.032126,0.035913,0.030992,0.03247,0.034987,0.03547,0.03507,0.039141,0.03513,0.036871,0.033975,0.034602,0.039823,0.07037,0.034074,0.09375,0.021277,0,0.073171,0.034461,0.035033,0.032594,0.032755,0.035944,0.034438,0.03456,0.034698,0.032932,0.031456,0.03265,0.032569,0.032093,0.032546,0.031921,0.154803,0.033854,0.032771,0.033678,0.029837,0.032733,0.036017,0.434546,0.031221,0.034325,0.035387,0.034959,0.033268,0.032301,0.033203,0.032908,0.03283,0.033536,0.034312,0.034147,0.03346,0.033828,0.033521,0.034174,0.034657,0.03427,0.034048,0.87197,0.87586,0.875584
215_744535,0.033434,0.03368,0.033844,0.03413,0.034653,0.033861,0.03414,0.033528,0.035992,0.034624,0.032719,0.035142,0.037727,0.038385,0.034499,0.034164,0.035305,0.035021,0.032823,0.03376,0.031194,0.035171,0.032514,0.033812,0.032063,0.032638,0.037465,0.034053,0.034797,0.034921,0.035327,0.032912,0.034556,0.035431,0.033477,0.032423,0.031423,0.031685,0.03512,0.034947,0.031128,0.031393,0.022199,0.021565,0.033772,0.032922,0.032251,0.031058,0.030109,0.03216,0,0.033203,0.020573,0.033568,0.031743,0.032066,0.034547,0.034116,0.034174,0.034853,0.029172,0.033595,0.034561,0.032523,0.035293,0.034998,0.034491,0.036691,0.036584,0.036604,0.036086,0.033279,0.035489,0.03361,0.03464,0.033153,0.03388,0.033131,0.032367,0.035585,0.035161,0.035179,0.033936,0.032068,0.036692,0.035959,0.035256,0.03375,0.033911,0.036558,0.032274,0.035281,0.04386,0.058824,0.031292,0.109375,0.03125,0.25,0.059524,0.034987,0.034736,0.034038,0.034093,0.036167,0.035658,0.035177,0.036062,0.033889,0.033789,0.033982,0.035176,0.034804,0.034491,0.030989,0.151936,0.033105,0.033366,0.033685,0.033099,0.032134,0.035334,0.437917,0.034661,0.035444,0.036333,0.034285,0.035629,0.032354,0.034279,0.035042,0.035771,0.034685,0.036955,0.033738,0.034408,0.032435,0.033488,0.03293,0.033961,0.034612,0.033893,0.875015,0.879513,0.879057
216_744536,0.030331,0.03082,0.030479,0.031689,0.032178,0.031298,0.030317,0.031217,0.034652,0.035086,0.032236,0.034039,0.039225,0.038162,0.030367,0.03547,0.036067,0.030904,0.033033,0.033032,0.03254,0.034475,0.030832,0.033911,0.031123,0.033094,0.034627,0.032453,0.033366,0.034543,0.034647,0.031215,0.033374,0.034045,0.037146,0.03641,0.034298,0.034822,0.035393,0.034547,0.033311,0.032918,0.03505,0.036361,0.034697,0.036494,0.033956,0.031729,0.035296,0.032925,0.033203,0,0.035935,0.033169,0.034436,0.033988,0.041667,0.031604,0.031487,0.032663,0.036541,0.035593,0.034775,0.031655,0.036316,0.034026,0.032836,0.033021,0.031615,0.031733,0.031384,0.034157,0.03553,0.03322,0.035196,0.032555,0.033435,0.032294,0.032187,0.033726,0.033426,0.037246,0.032495,0.033902,0.036334,0.034119,0.037314,0.040302,0.034625,0.038167,0.031739,0.031032,0.048673,0.05597,0.032084,0.129032,0.021739,0,0.038462,0.034652,0.035333,0.032965,0.033159,0.034817,0.033853,0.032896,0.036867,0.033821,0.033017,0.033619,0.03376,0.035714,0.036646,0.029893,0.151248,0.03136,0.031852,0.033337,0.034844,0.032322,0.03573,0.434307,0.029063,0.029964,0.034492,0.034685,0.03117,0.029369,0.033451,0.029796,0.030731,0.031852,0.03231,0.02892,0.029446,0.03327,0.033487,0.034464,0.034784,0.032972,0.032285,0.875076,0.878445,0.877954
217_744537,0.032376,0.033652,0.031893,0.034587,0.035778,0.035555,0.034829,0.033051,0.035678,0.035899,0.032963,0.035417,0.037783,0.037609,0.035889,0.035252,0.035542,0.034233,0.034012,0.03545,0.033341,0.036833,0.033731,0.03254,0.032715,0.03304,0.038025,0.03385,0.035645,0.035822,0.036601,0.032917,0.036631,0.036986,0.032703,0.033099,0.032839,0.031691,0.034363,0.035531,0.032815,0.032225,0.023106,0.022493,0.035373,0.035031,0.033484,0.031812,0.02816,0.033684,0.020573,0.035935,0,0.03362,0.034419,0.030979,0.03738,0.033936,0.033362,0.034401,0.028675,0.034491,0.03507,0.033941,0.036921,0.034144,0.034453,0.036989,0.035732,0.036575,0.036967,0.035899,0.036471,0.034273,0.034189,0.033773,0.035598,0.033526,0.033441,0.034918,0.03487,0.036019,0.034314,0.033835,0.036645,0.036555,0.036968,0.029851,0.035021,0.03677,0.033439,0.035387,0.056522,0.062044,0.033166,0.125,0.031915,0.125,0.02439,0.034835,0.035016,0.034471,0.034407,0.035351,0.03569,0.035624,0.037921,0.034155,0.033605,0.034683,0.035914,0.033754,0.033058,0.033153,0.154109,0.034332,0.033333,0.035647,0.033507,0.03457,0.034397,0.437087,0.034834,0.036443,0.034948,0.034632,0.036086,0.034449,0.034526,0.034662,0.036287,0.035852,0.036436,0.034013,0.035319,0.034849,0.03523,0.032828,0.03369,0.034222,0.034374,0.87497,0.878534,0.878141
