156,"Angle Crossing",11.56,306.43,7.28,299.14
157,"Angle Crossing",12.45,305.54,7.28,298.25
158,"Angle Crossing",14.82,303.17,7.28,295.89
159,"Angle Crossing",11.56,306.43,7.28,299.14
160,"Angle Crossing",16.30,303.69,6.55,297.14
161,"Angle Crossing",16.30,303.69,6.55,297.14
162,"Angle Crossing",15.71,304.28,6.55,297.73
163,"Angle Crossing",17.48,302.51,6.55,295.95
164,"Angle Crossing",17.48,302.51,6.55,295.95
165,"Angle Crossing",13.93,306.06,6.55,299.50
166,"Angle Crossing",18.07,301.92,6.55,295.36
167,"Angle Crossing",16.15,303.84,6.55,297.28
168,"Angle Crossing",11.56,308.43,6.55,301.87
169,"Angle Crossing",8.90,311.09,6.55,304.53
170,"Angle Crossing",16.30,303.69,6.55,297.14
171,"Angle Crossing",11.86,308.13,6.55,301.57
172,"Angle Crossing",16.44,303.55,6.55,296.99
173,"Angle Crossing",15.11,304.88,6.55,298.32
174,"Angle Crossing",16.00,303.99,6.55,297.43
175,"Angle Crossing",11.86,308.13,6.55,301.57
176,"Angle Crossing",27.54,306.45,4.93,301.52
177,"Angle Crossing",25.76,308.23,4.93,303.29
178,"Angle Crossing",21.33,311.66,6.05,305.61
179,"Angle Crossing",24.28,308.71,6.05,302.65
180,"Angle Crossing",,,5.86,
181,"Angle Crossing",20.14,332.85,5.21,327.64
182,"Angle Crossing",17.78,330.21,5.92,324.29
183,"Angle Crossing",18.66,329.33,5.92,323.40
184,"Angle Crossing",17.04,320.95,4.79,316.16
185,"Angle Crossing",14.23,296.76,7.71,289.05
186,"Angle Crossing",14.52,296.47,7.71,288.75
187,"Angle Crossing",14.82,296.17,7.71,288.46
188,"Angle Crossing",14.67,296.32,7.71,288.60
189,"Angle Crossing",14.82,296.17,7.71,288.46
190,"Angle Crossing",14.08,296.91,7.71,289.19
191,"Angle Crossing",16.89,294.10,7.71,286.38
192,"Angle Crossing",14.08,296.91,7.71,289.19
193,"Angle Crossing",15.71,295.28,7.71,287.57
194,"Angle Crossing",12.30,298.69,7.71,290.97
195,"Angle Crossing",11.86,299.13,7.71,291.41
196,"Angle Crossing",11.27,299.72,7.71,292.00
197,"Angle Crossing",12.75,298.24,7.71,290.53
198,"Angle Crossing",16.15,294.84,7.71,287.12
199,"Angle Crossing",12.45,298.54,7.71,290.82
200,"Angle Crossing",16.89,295.10,7.59,287.51
201,"Angle Crossing",15.41,296.58,7.59,288.99
202,"Angle Crossing",14.82,297.17,7.59,289.58
203,"Angle Crossing",14.37,297.62,7.59,290.02
204,"Angle Crossing",15.26,296.73,7.59,289.13
205,"Angle Crossing",15.71,296.28,7.59,288.69
206,"Angle Crossing",17.18,297.81,10.46,287.34
207,"Angle Crossing",18.96,296.03,10.46,285.57
208,"Angle Crossing",18.66,296.33,10.46,285.86
209,"Angle Crossing",18.07,296.92,10.46,286.45
210,"Angle Crossing",16.59,298.40,10.46,287.93
211,"Angle Crossing",16.89,298.10,10.46,287.64
212,"Angle Crossing",18.07,296.92,10.46,286.45
213,"Angle Crossing",18.96,296.03,10.46,285.57
214,"Angle Crossing",18.81,296.18,10.46,285.71
215,"Angle Crossing",16.89,298.10,10.46,287.64
216,"Angle Crossing",17.48,297.51,10.46,287.05
217,"Angle Crossing",16.89,298.10,10.46,287.64
218,"Angle Crossing",16.59,298.40,10.46,287.93
219,"Angle Crossing",19.55,295.44,10.46,284.97
220,"Angle Crossing",15.85,299.14,10.46,288.67
221,"Angle Crossing",19.25,295.74,10.46,285.27
222,"Angle Crossing",8.31,306.68,10.46,296.21
223,"Angle Crossing",16.44,298.55,10.46,288.08
224,"Angle Crossing",18.07,296.92,10.46,286.45
225,"Angle Crossing",20.59,294.40,10.46,283.94
226,"Angle Crossing",14.37,301.62,9.82,291.79
227,"Angle Crossing",20.29,296.70,10.01,286.69
228,"Angle Crossing",18.81,298.18,10.01,288.17
229,"Angle Crossing",20.14,296.85,10.01,286.83
230,"Angle Crossing",19.25,297.74,10.01,287.72
231,"Angle Crossing",18.96,298.03,10.01,288.02
232,"Angle Crossing",19.11,297.88,10.01,287.87
233,"Angle Crossing",19.70,297.29,10.01,287.28
234,"Angle Crossing",17.33,299.66,10.01,289.64
235,"Angle Crossing",20.44,296.55,10.01,286.54
236,"Angle Crossing",18.81,298.18,10.01,288.17
237,"Angle Crossing",19.85,297.14,10.01,287.13
238,"Angle Crossing",19.25,297.74,10.01,287.72
239,"Angle Crossing",19.25,297.74,10.01,287.72
240,"Angle Crossing",19.85,297.14,10.01,287.13
