"ID","LarvaID","PlateID","Row","Column","raceCladeName","raceCladeNumber","CladeName","cladeNumber","cladeGoTName","NestID","NestGoTName","Sibling","Comments","CreatedDate"
79,223,"NA","NA",,"NA",1,," 3","NA","NA","NA","NA","NA",30/7/2015 21:11:23
80,224,"NA","NA",,"NA",1,," 9","NA","NA","NA","NA","NA",30/7/2015 21:11:23
81,263,"NA","NA",,"NA",1,," 1","NA","NA","NA","NA","NA",30/7/2015 21:11:23
82,264,"NA","NA",,"NA",1,," 8","NA","NA","NA","NA","NA",30/7/2015 21:11:23
83,265,"NA","NA",,"NA",1,," 6","NA","NA","NA","NA","NA",30/7/2015 21:11:23
84,266,"NA","NA",,"NA",1,," 6","NA","NA","NA","NA","NA",30/7/2015 21:11:23
85,226,"NA","NA",,"NA",1,," 4","NA","NA","NA","NA","NA",30/7/2015 21:11:23
86,267,"NA","NA",,"NA",1,," 7","NA","NA","NA","NA","NA",30/7/2015 21:11:23
87,268,"NA","NA",,"NA",2,," 5","NA","NA","NA","NA","NA",30/7/2015 21:11:23
88,280,"NA","NA",,"NA",1,," 7","NA","NA","NA","NA","NA",30/7/2015 21:11:23
